places,Is your place in Punjab?,Is your place in Balochistan?,Is your place in KPK?,Is your place situated in Islamabad?,Is your place in Sindh?,Is your place in AK or Gilgit Baltistan?,Is your place a Picnicspot?,Is your place a Mosque?,Is your place an Educational?,Is your place a Shopping place?,Is your place a Historical Sight?,Is your place a Stadium?,Is your place a Mountain or Mountaineous?,Is your place a Beach?,Is your place a Waterfall?,Is your place a Desert?,Is your place an Island?,Is your place a Glacier?,Is your place a Lake?,Is your place a Fort?,Is your place a River?,Is your place a Valley?,Is your place a Resort or Hotel?,Is your place a Restaurant?,Is your place a museum?,Is your place a port?,Is your place a tomb?,Is your place a famous picnic dam?,Is your place a famous lake in Quetta?,Does your place has red and blue walls?,Does your place related to takatu?,Is your place a name of a girl?,Is your place named after a dead female politician?,Does your place has yellow walls?,Is your place is going to be the biggest mall?,Do people play golf in your place?,Is your place an open roof shopping place in cantt?,Does your place has gold in its name?,Is your place an army educational institute?,Is your place a an army officers college?,Does your place has an aeroplane in it?,Is you place named after a famous baloch tribe?,Is your place named after a former Army chief Musa?,Is your place kund malir?,Is your place located near the khuzdar district?,Is your place the old civilization in Balochistan?,Is your place a famous picnic point in Bolan?,Is your place a statue?,Is your place a desert near kharan?,Did Quaid lived last years of his life in your place?,Does your place has a big rock with a hole inside it?,Is your place also linked with ship wrecking?,Is your place located in Gawadar?,Does your place has turtles?,Is your place recently formed due to an earthquake?,Is your place a largest Island in Pakistan?,Is you place a stadium fully surrounded by mountains?,Is your place a challenging and adventureous place?,Does your place has spot named death zone?,Does your place has satrangi Lake?,Is your place located in kharmang valley Gilgit?,Does your place has army protection?,Is the name of your place starts with 'P'?,Does your lake has upper and lower sub parts?,Is this place a famous lake near neelum valley?,Is your place a valley whose name starts with p?,Is your place watered with shigar river?,Is your place name starts with 'L'?,Does your place name starts with 'A'?,Is it a river in hunza name starts with H?,Is the name of your place a name of a Surah?,Does your place has meadows in its name?,Does your place provide water to skardu valley?,Is your place a valley in azad kashmir?,Is your place beside mangla dam?,Is your place an Airplane Crashsite?,Is your place Highest picnic spot of the ISL?,Is there a Hilltop garden?,Famous due to its its rich Documented heritage and archaeological places?,Largest Mosque in Pakistan?,Is there a quad bike F1 Tracks?,Is Pakistan Monument located there?,Does your place Covers a whole Sector?,Is it a restaurant located in Margilla Hills?,Is your place famous for its born fire?,Is it close to Pir sohawa ?,Is it the No 1 university for Computer Science in Pakistan?,Is it the No1 university of Pakistan with score equals to 100?,Is it the largest stadium in Pakistan?,Is it  the biggest shopping center in Islamabad? ,Is it the most famous Markaz of Islamabad?, Is your place the highest alpine lake of Pakistan?,Is it named after Egyptian Prince Saiful Malook?,It's name came from its tear-like shape?,Is it famous due to  the fifty-five participants of the 1857 Indian war of independence were arrested there?,"Is it the largest earth-filled dam in the world, forming a lake?",Is your place reservoir and a lake?,Is your place famous for its Ski resort?,Is it the home of  Kalash people?,Is your palce famous for it's different types of lakes?,Is your place know as 'mini Switzerland'?,Is it the highest mountain outside the Himalayas–Karakoram range?,Is it in Swat valley?,Is your place in the shape of umbrella?,Is it notable for its collection of Buddhist artwork?,Is your place known as market of story tellers?,Does your place has commanding position on the river?,Is your place famous for it Markhor goats?,Are there  eight research centers located inside the campus?,Do military cadets get training in your place?,Is your place the highest polo ground int the world?,Is it the biggest market of Abbotabad?,Is your place always covered in clouds?,Is your place famous for its's green rich meadows?,Is your place part of galyat region?,Is your place named by First Governer of pakistan?,Is your place Named by a Queen?,Is your place has a Word 'Sea' in it?,Is your place also Called by a Movie name 'Aladin' ?,Is your place located in Gulshan-e-Iqbal Chowrangi?,Does your place have huge water slides?,Does your place also relates as Naval?,Is your place was Made in 1970?,Is your place Made by Hindu Mohatta?,Is your place is Related to History of sindh?,Is your place also relates to Baba-e-qaum?,Does your place have Cages?,Does your place has Glass tanks?,Does your place is used to play golf?,Is your place is also known by Alexender's fort?,Is your place also known as 'The Gateway to Thar Desert?,Is your place Located in Umerkot?,Is your place was build on Island to protect the labour?,Is your place also known as 'The Great Wall of Sindh'?,Is your place has a Connection of Indus river & Indus vally Civilization?,Is your place Famous educational institude in karachi?,Is your place Named by a person Agha khan?,is your place name of a city?,Is your place name start with the word F?,Does your place is named by Zulfiqar ali bhutto?,Is your place Opposite to PNSC building?,is your place named by Baba-e-Qaum in karachi?,Does your place has Three Swords of stones?,Does your place is also known as Sateen Jo Aastan?,Is your place Largest funeral Sight in the world?,Is your place also known as GOL masjid?,Is your place made by Mughal Emperor Shah Jahan?,Is your place also known as Great indian desert in Thatta?,is your place also known as Seaview in Clifton?,Is your place named afterÿWilmer Hawke's Bay?,Does your place have Remarkable variety of Marine life?,is your place also known as 'Bundaar' in Arabian Sea?,Is your place Named Bukkur by Sayyid Muhammad Al-Makki in Rohri?,is your place name starts with 'S'?,Is your place South Asia's largest and busiest deep-water seaport?,Is your placeblocated adjacent to the Bin Qasim town?,Is your place second-largest fresh water lake in pakistan?,is your place name starts with 'K'?,Is your place Asia's largest Natural Freshwater lake in Jamshoro?,is your place a lake nearÿDhoronaro village of Umerkot?,Is your place 1 rank restaurant with sea breeze in karachi?,Is your place one of the best fine diningÿrestaurantsÿin karachi?,Is your place 2 rank in karachi that Provide Japanese Cuisine and Ambiance?,Is your place a 5 Star Hotel/Resort branch from switzerland name start with 'M'?,Is your place a 4 Star Hotel/Resort Tower name start with 'A'?,Is your place a 5 Star Hotel/Resort name start with 'P'?,Is your place largest shopping hub in heart of karachi?,Is your place a Mall on airport?,is your place name starts with 'D'?,is your place a tallest mall in karachi?,Is this the Oldest University of Punjab?,Is it the university where Iqbal Studied?,Is this Famous for Folk Stories?,Is this river known as Red River?,Is there a city named on this river?,Is there an old civilization named on this river?,Is this River also known as ?the River of Lahore'?,Is it a Salt Water Lake?,Is there a University with the name of this lake?,Is it also known as Khandowa Lake?,is this lake's water famous for Skin Treatment?,Is this Museum famous for Gandhara Art?,Is this Place Famous for Harrapan Civilzation Reamains?,Is this a Budhist Ancient Monastery?,Is this Place on the name of National Poet?,"This Mosque names English Translation is ""Golden Mosque""?","Is this mosque also known for ""Emperor's Mosque""",Is a Sufi Saint Burried in the Courtyard of this Mosque?,Is this place related to Pakistan Resolution?,Is this Fort name homonymous Attock city?,Is this fort also known for Shahi Qila?,Is this palcace with a graveyard?,Did Nawab of BawalPur live in this place?,Is this Place related to a Baloch leader who migrated?,Is this Place on the Name of an Animal?,Are two Characters of Folk Punjabi Story Burried here?,Is this place have name from  Forty Rules for Love?,"Is this Place Relatet to Most Famous Singer aka ""Malika e Tarunum""?",Is the place final destination of writer of Heer-Ranja?,Is this the oldest University of Punjab?,Is this the Oldest Engineering University of Pakistan?,Is this the Place where Iqbal Studied?,Is this Place Named after a famous Saint of Punjab?,Is this Place on the name of an Arab Shaikh?,Is this Place Named after the Founder of Pakistan?,Is this Place on the Name of national Poet?,Is this the Biggest Mall of Lahore?,Is this Mall Owned by Malik Riaz?,Is this bazar named after a character of Folk Punjabi Story?,is this the biggest Grocery Store of Lahore?,Is this mall More Famous for Ladies Products?,Is it a Food street near Badshahi mosque?,"Is it a famous food place of Students, Poets and Writters?",Is this Pakistans first and largest Water Park?,Is this park inside the Lahore Cantt?,Is this Place on the name of a sailor from Baghdad?,does this Place contain Quad e Azam Library?,"Is this Place also known as ""The Garden of Iqbal""?",Does this Park Contain Minar e Pakistan?,Is it Built by  Shahjahan and is World Hertiage Site?,"Is This Place known famously as ""PC""",Is this Place named after a famous Country?,Does this place have Deluxe Rooms and Luxury suites?,Does this place have Famous Golf Club?
Wali tangi,0,0.5,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hana Lake,0,0.5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Millinium mall,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buitems,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neelum valley,0,0.5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sunset view,0,0.5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liaquat Park,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quetta Golf Club,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benazair Park,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gold City mall,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
